run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
wiki_coreoff_s45_lr1e-3,matched,tgbl-wiki,core-off,0.001,on,global,45,False,0.7548957151404929,0.7314694332918009,0.8458574999915994,7,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 16:57
wiki_coreoff_s46_lr1e-3,matched,tgbl-wiki,core-off,0.001,on,global,46,False,0.764181009311336,0.7386355502736351,0.8466618685437007,7,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 15:57
wiki_coreoff_s47_lr1e-3,matched,tgbl-wiki,core-off,0.001,on,global,47,False,0.7523591623374506,0.7270039306290138,0.8445451083014626,8,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 16:51
wiki_curonly_s43_lr1e-3,matched,tgbl-wiki,current-only-maps,0.001,on,global,43,False,0.7818168982182746,0.7656129958324683,0.8542398713665688,8,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 15:10
wiki_curonly_s43_lr3e-4,matched,tgbl-wiki,current-only-maps,0.0003,on,global,43,False,0.7396343204117786,0.726722291958917,0.8491173109355796,8,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 16:37
wiki_curonly_s44_lr1e-3,matched,tgbl-wiki,current-only-maps,0.001,on,global,44,False,0.7869202995157975,0.7678597306757049,0.8505143727180662,8,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 20:37
wiki_curonly_s45_lr1e-3,matched,tgbl-wiki,current-only-maps,0.001,on,global,45,False,0.7740298500223439,0.7626001755231665,0.8525464628414591,8,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 19:30
wiki_curonly_s46_lr1e-3,matched,tgbl-wiki,current-only-maps,0.001,on,global,46,False,0.7663895321091176,0.7534528344416668,0.8503450319164012,8,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 20:02
wiki_curonly_s47_lr1e-3,matched,tgbl-wiki,current-only-maps,0.001,on,global,47,False,0.7631075512464058,0.7510506069850449,0.8504297022181913,7,8.0,448846.0,448846.0,0.0,True,,,False,2026-09-22 21:22
wiki_diag_s43_lr1e-3,matched,tgbl-wiki,diagssm-ordinary,0.001,on,global,43,False,0.7842297486440126,0.7658907968602492,0.851234071714035,8,8.0,10254.0,10126.0,0.0,True,,,False,2026-09-22 15:01
wiki_diag_s43_lr3e-4,matched,tgbl-wiki,diagssm-ordinary,0.0003,on,global,43,False,0.7329550891739918,0.7171373845691034,0.8501333565114138,8,8.0,10254.0,10126.0,0.0,True,,,False,2026-09-22 15:43
wiki_diag_s44_lr1e-3,matched,tgbl-wiki,diagssm-ordinary,0.001,on,global,44,False,0.7833820270909609,0.7688885116755299,0.8554675927927662,8,8.0,10254.0,10126.0,0.0,True,,,False,2026-09-22 18:31
