cell,scenario,method,segment,mean,std,count,alpha
E2_N16_snr10,A,point,end,0.09601475313483519,0.06632354035095533,50,1000.0
E2_N16_snr10,A,point,post,0.07526140383604524,0.009573144491354988,50,1000.0
E2_N16_snr10,A,point,pre,0.07163604726880377,0.010601075243609958,50,1000.0
E2_N16_snr10,B,cur,all,0.016553537199585855,0.00403052434953696,50,1000.0
E2_N16_snr10,B,cur,end,0.04615049628070239,0.042742345361559804,50,1000.0
E2_N16_snr10,B,cur,post,0.01732283224230146,0.005049213991339725,50,1000.0
E2_N16_snr10,B,cur,pre,0.01635326011695782,0.004939384159462948,50,1000.0
E2_N16_snr10,B,hist,all,0.0638566839784217,0.00219738905801345,50,0.01
E2_N16_snr10,B,hist,end,0.19545936373613743,0.16858699809290198,50,0.01
E2_N16_snr10,B,hist,post,0.0667804071728551,0.0092789147246952,50,0.01
E2_N16_snr10,B,hist,pre,0.06363156486797943,0.00807836967132605,50,0.01
E2_N16_snr10,B,in,all,0.0638562716780636,0.002197294473382493,50,0.01
E2_N16_snr10,B,in,end,0.19545393132062647,0.1685865270436405,50,0.01
E2_N16_snr10,B,in,post,0.06677778898800608,0.009278148259688049,50,0.01
E2_N16_snr10,B,in,pre,0.06363323861558139,0.008078989677512253,50,0.01
E2_N16_snr10,B,legs,all,0.06401116334459132,0.002159096541406269,50,0.0
E2_N16_snr10,B,legs,end,0.19670677897374328,0.16965834211432199,50,0.0
E2_N16_snr10,B,legs,post,0.06716750682523882,0.00933082951816501,50,0.0
E2_N16_snr10,B,legs,pre,0.06358288466193511,0.008172373796605263,50,0.0
E2_N16_snr10,B,point,all,0.29735142189208585,0.00807954444455991,50,0.3
E2_N16_snr10,B,point,end,0.3857909910476867,0.3144954228014611,50,0.3
E2_N16_snr10,B,point,post,0.27933632160917626,0.034852286033586935,50,0.3
E2_N16_snr10,B,point,pre,0.3215755248310553,0.025018319520955533,50,0.3
E2_N4_snr-10,A,cur,all,0.8291593177347006,0.10443924249602593,50,1.0
E2_N4_snr-10,A,cur,end,1.2712457564001964,1.1705964193026792,50,1.0
E2_N4_snr-10,A,cur,post,0.7876856383675235,0.14062283798983277,50,1.0
E2_N4_snr-10,A,cur,pre,0.8669401158144237,0.10607182978615601,50,1.0
E2_N4_snr-10,A,hist,all,0.8020397748964974,0.1176613565016209,50,3.0
E2_N4_snr-10,A,hist,end,1.2148202699317543,1.2191142118282796,50,3.0
E2_N4_snr-10,A,hist,post,0.7938470704237678,0.13414183530685017,50,3.0
E2_N4_snr-10,A,hist,pre,0.8082886369488788,0.13605452030283186,50,3.0
E2_N4_snr-10,A,in,all,0.7843303954025588,0.12188274363258814,50,1000.0
E2_N4_snr-10,A,in,end,1.204434292563842,1.1744999697196734,50,1000.0
E2_N4_snr-10,A,in,post,0.7791058672499512,0.1451111816157638,50,1000.0
E2_N4_snr-10,A,in,pre,0.790454382238841,0.139098142791888,50,1000.0
E2_N4_snr-10,A,legs,all,0.8448744533772984,0.11048757523690736,50,0.0
E2_N4_snr-10,A,legs,end,1.477876941558951,1.2801177229308862,50,0.0
E2_N4_snr-10,A,legs,post,0.8464142491090062,0.13083318136185904,50,0.0
E2_N4_snr-10,A,legs,pre,0.8510123666158748,0.13115427575939165,50,0.0
E2_N4_snr-10,A,point,all,0.7108784536978071,0.04342745724563429,50,1000.0
E2_N4_snr-10,A,point,end,0.949519785697162,0.6565128155490849,50,1000.0
E2_N4_snr-10,A,point,post,0.7439499427170573,0.09663744897080134,50,1000.0
E2_N4_snr-10,A,point,pre,0.707523713410246,0.10665286345766811,50,1000.0
E2_N4_snr-10,B,cur,all,0.788482916239972,0.13854894415879523,50,1000.0
E2_N4_snr-10,B,cur,end,1.188653883520376,1.308606394116848,50,1000.0
E2_N4_snr-10,B,cur,post,0.7787927429102737,0.15370875797238004,50,1000.0
E2_N4_snr-10,B,cur,pre,0.7961473988183235,0.17122569218140724,50,1000.0
E2_N4_snr-10,B,hist,all,0.8323251097610421,0.11934516636494034,50,1.0
E2_N4_snr-10,B,hist,end,1.3078201957056552,1.379359344115467,50,1.0
