cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
E1_a10_N16,A,all,hist-legs,50,-0.258138721612965,-0.26764827462134394,-0.24853559879789675,50,0,-0.5391846842049622
E1_a10_N16,A,all,cur-legs,50,-0.134055290380281,-0.14706555669777632,-0.12118735609699234,50,0,-0.28000665284950427
E1_a10_N16,A,end,hist-cur,50,-0.023872876651021314,-0.028321322457381195,-0.019561497345267586,49,1,-0.08811280019431426
E1_a10_N16,A,end,hist-in,50,-0.0005822679119811461,-0.0011686329856310657,-3.553191725204868e-05,28,22,-0.002351222135859346
E1_a10_N16,A,end,in-cur,50,-0.023290608739040167,-0.02809272922274648,-0.018856638480724226,49,1,-0.08596369780762052
E1_a10_N16,A,end,hist-legs,50,-0.2761667180161653,-0.3077896023121955,-0.2468331083694503,50,0,-0.5278120886037858
E1_a10_N16,A,end,cur-legs,50,-0.252293841365144,-0.2807570147874802,-0.2268428360276221,50,0,-0.4821860516335433
E1_a10_N16,A,post,hist-cur,50,-0.027029305095355456,-0.029495272296038235,-0.024719384956140258,50,0,-0.1026891429081295
E1_a10_N16,A,post,hist-in,50,-0.0010404256605871338,-0.0016145824352502634,-0.0004939271590074573,33,17,-0.00438580040070197
E1_a10_N16,A,post,in-cur,50,-0.025988879434768318,-0.02835755063543615,-0.023687197570075907,50,0,-0.09873638056487279
E1_a10_N16,A,post,hist-legs,50,-0.27736876636949226,-0.29286186222883986,-0.2626634183891975,50,0,-0.5400962899618726
E1_a10_N16,A,post,cur-legs,50,-0.2503394612741368,-0.2637290612400865,-0.23747557547370424,50,0,-0.48746445403697997
E1_a10_N16,A,pre,hist-cur,50,-0.19037602389930985,-0.19841760776066256,-0.18173128044203246,50,0,-0.46960220942578007
E1_a10_N16,A,pre,hist-in,50,-0.0008470364170095779,-0.0013171557525947211,-0.0004141900195421211,33,17,-0.0039238356030483635
E1_a10_N16,A,pre,in-cur,50,-0.18952898748230018,-0.19756854891901068,-0.1808910165999812,50,0,-0.4675128172599776
E1_a10_N16,A,pre,hist-legs,50,-0.25107796357780576,-0.26388952367779395,-0.2388144752024352,50,0,-0.5386778271178356
E1_a10_N16,A,pre,cur-legs,50,-0.06070193967849595,-0.07852281212234957,-0.043530306037287345,43,7,-0.13023360752930913
E1_a10_N4,A,all,hist-cur,50,-0.14492902926847356,-0.16325075137155057,-0.12636062327118228,50,0,-0.336085230518844
E1_a10_N4,A,all,hist-in,50,-0.0032208113635052767,-0.004936416448218813,-0.001448336098929633,36,14,-0.01112470569995701
E1_a10_N4,A,all,in-cur,50,-0.14170821790496826,-0.15969989687589847,-0.12407078776623326,50,0,-0.32861628426959966
E1_a10_N4,A,all,hist-legs,50,-0.3584724776758226,-0.3971443707233717,-0.32487177459717914,50,0,-0.5559691401175554
E1_a10_N4,A,all,cur-legs,50,-0.21354344840734896,-0.26443773008125526,-0.168180117551905,47,3,-0.3311929779338224
E1_a10_N4,A,end,hist-cur,50,-0.004565881292042099,-0.009422517078908678,0.00034231110900931686,35,15,-0.012908066574712418
E1_a10_N4,A,end,hist-in,50,-0.003566463372241466,-0.007632817123470125,0.0005611390833535969,30,20,-0.010111210497961426
E1_a10_N4,A,end,in-cur,50,-0.0009994179198006326,-0.0034484280922441653,0.001399683769471558,24,26,-0.0028254245390110363
E1_a10_N4,A,end,hist-legs,50,-0.4518759941778578,-0.5202294369847301,-0.3909049147916824,50,0,-0.5641164290035147
E1_a10_N4,A,end,cur-legs,50,-0.4473101128858156,-0.5153735022209921,-0.38609836873975,50,0,-0.5584164389998257
E1_a10_N4,A,post,hist-cur,50,-0.006345346992410942,-0.008914498284795928,-0.003836679137324001,41,9,-0.017265499798424778
E1_a10_N4,A,post,hist-in,50,-0.00484443462529681,-0.007462939435239317,-0.0023597306774725646,38,12,-0.013235615469890393
E1_a10_N4,A,post,in-cur,50,-0.0015009123671141317,-0.003204859917123472,0.0001531760226619129,32,18,-0.0040839377583062894
E1_a10_N4,A,post,hist-legs,50,-0.45523155963341017,-0.5143364458954031,-0.40093655906115344,50,0,-0.5576069816086469
E1_a10_N4,A,post,cur-legs,50,-0.4488862126409993,-0.5038217326545004,-0.397416998408809,50,0,-0.5498346518814482
E1_a10_N4,A,pre,hist-cur,50,-0.21942798165140182,-0.23743739544614104,-0.20108849558679248,50,0,-0.4358419096430332
E1_a10_N4,A,pre,hist-in,50,-0.002423460248084411,-0.004605191015303791,-0.00010195417327049132,33,17,-0.008460230549198993
E1_a10_N4,A,pre,in-cur,50,-0.21700452140331739,-0.2345483385595832,-0.19891920249554038,50,0,-0.43102827769636964
