cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
R1_theta45,A,pre,cur-legs,50,-0.02184431377527728,-0.028210202680448233,-0.015252286915738942,41,9,-0.05888138731404422
R3_drift,A,all,hist-cur,50,-0.0010177764773076888,-0.0013778908776279233,-0.0006450663618305115,43,7,-0.015729638933123784
R3_drift,A,all,hist-in,50,8.628945469697779e-07,-1.422101882120271e-06,3.4906026551703613e-06,24,26,1.3549259033099488e-05
R3_drift,A,all,in-cur,50,-0.0010186393718546586,-0.0013657852272957944,-0.0006286187780273953,43,7,-0.015742974886512197
R3_drift,A,all,hist-legs,50,-0.0015865417867891958,-0.0019798583749754605,-0.001151130717817049,45,5,-0.0243061961867142
R3_drift,A,all,cur-legs,50,-0.0005687653094815068,-0.0006781121745293034,-0.00045451897943119907,47,3,-0.008713619339603053
R3_drift,A,post,hist-cur,50,-0.0008066135342516226,-0.0011687795156896808,-0.0004052447430565772,39,11,-0.011651266785325723
R3_drift,A,post,hist-in,50,1.088798878971231e-06,-7.369868467209342e-06,1.0320174577377776e-05,22,28,1.591299798552808e-05
R3_drift,A,post,in-cur,50,-0.0008077023331305938,-0.001175420070548098,-0.00041132506208259843,39,11,-0.01166699412645722
R3_drift,A,post,hist-legs,50,-0.001915635789836751,-0.0023786998385088597,-0.0013935664847739087,43,7,-0.02723444676816897
R3_drift,A,post,cur-legs,50,-0.0011090222555851285,-0.0012303068145819449,-0.000981222967566931,49,1,-0.015766884156524236
R3_drift,A,pre,hist-cur,50,-0.0011609861363223895,-0.0015474229030547678,-0.0007188556870450396,44,6,-0.017920991122779593
R3_drift,A,pre,hist-in,50,2.525413543004451e-07,-4.361107385158685e-06,4.7914173965462985e-06,20,30,3.969381045376822e-06
R3_drift,A,pre,in-cur,50,-0.00116123867767669,-0.0015405167568272907,-0.0007348715333633242,44,6,-0.01792488935310893
R3_drift,A,pre,hist-legs,50,-0.0014460908620932394,-0.0018501653514563577,-0.0010068689358921489,44,6,-0.02222406449599689
R3_drift,A,pre,cur-legs,50,-0.00028510472577085,-0.00044268891627264505,-0.0001226390562032743,35,15,-0.004381595914708394
R3_drift,B,all,hist-cur,50,0.0010540808571867977,0.0006592189914522903,0.0014041102459708924,8,42,0.01701496091005664
R3_drift,B,all,hist-in,50,3.2308034019823405e-07,-1.4441647520037347e-07,7.856522965952774e-07,20,30,5.127934228119715e-06
R3_drift,B,all,in-cur,50,0.0010537577768465994,0.0006359031320012762,0.0014056494638527265,8,42,0.01700974575097107
R3_drift,B,all,hist-legs,50,-0.0005946701522564811,-0.0006997723618082031,-0.000482536091531192,48,2,-0.009350308439212347
R3_drift,B,all,cur-legs,50,-0.001648751009443279,-0.0020353362054039846,-0.0011975366995487032,44,6,-0.025924170599886283
R3_drift,B,post,hist-cur,50,0.0008989924485992315,0.0004646713562554525,0.0012700759654784898,10,40,0.013449637677444445
R3_drift,B,post,hist-in,50,1.1661679048938222e-06,4.577295230421274e-07,1.9885728335700963e-06,17,33,1.7215551134680693e-05
R3_drift,B,post,in-cur,50,0.0008978262806943377,0.00046320549864361415,0.001261866689230014,10,40,0.013432190883740754
R3_drift,B,post,hist-legs,50,-0.0010804453249026189,-0.0012111711687157278,-0.0009519552113527539,49,1,-0.015699394985866474
R3_drift,B,post,cur-legs,50,-0.0019794377735018504,-0.0024441522735731483,-0.0014515340048234437,43,7,-0.028762191607382394
