cell,scenario,method,alpha,segment,mean,std,count
N4,A,hist,3.0,post,0.7770328098287729,0.13282304137020254,50
N4,A,hist,3.0,pre,0.7740291848748627,0.167497202736666,50
N4,A,hist,10.0,all,0.788487728273521,0.12343024734443422,50
N4,A,hist,10.0,post,0.7840170530967534,0.131435723260867,50
N4,A,hist,10.0,pre,0.7822178020882355,0.16275827014317748,50
N4,A,hist,30.0,all,0.803004211321505,0.11611097480952788,50
N4,A,hist,30.0,post,0.7987831985249265,0.12382232927755318,50
N4,A,hist,30.0,pre,0.7977081723736842,0.15035094186108564,50
N4,A,hist,100.0,all,0.8389902082791209,0.09749398140346302,50
N4,A,hist,100.0,post,0.836057809999479,0.10361750737674874,50
N4,A,hist,100.0,pre,0.8353871578265897,0.12470602952977938,50
N4,A,in,0.0,all,0.7740921780386267,0.1264314423021246,50
N4,A,in,0.0,post,0.7713873270354555,0.1324514178112561,50
N4,A,in,0.0,pre,0.7658819837590278,0.1692733269059872,50
N4,A,in,0.01,all,0.7740848399211321,0.12643140690554544,50
N4,A,in,0.01,post,0.7713812530288655,0.13245392258884497,50
N4,A,in,0.01,pre,0.7658711579224615,0.16927886592475253,50
N4,A,in,0.03,all,0.7740753054983549,0.12643041257829812,50
N4,A,in,0.03,post,0.7713743703024505,0.1324580966012919,50
N4,A,in,0.03,pre,0.7658557380973339,0.1692881624097671,50
N4,A,in,0.1,all,0.7740876227961894,0.1264188266650898,50
N4,A,in,0.1,post,0.7713970524921749,0.13246526805251035,50
N4,A,in,0.1,pre,0.765857197165756,0.16930481207791892,50
N4,A,in,0.3,all,0.7743712474272891,0.12634358807023516,50
N4,A,in,0.3,post,0.7717157953761489,0.13244516541097226,50
N4,A,in,0.3,pre,0.7661637492164369,0.16926521561010016,50
N4,A,in,1.0,all,0.7760881907967463,0.1259906708346807,50
N4,A,in,1.0,post,0.7735599776487997,0.13225342167430088,50
N4,A,in,1.0,pre,0.768136722591923,0.16885903475644964,50
N4,A,in,3.0,all,0.7796018059066071,0.12538317005422395,50
N4,A,in,3.0,post,0.7772986582758036,0.1318730821925727,50
N4,A,in,3.0,pre,0.772223294261233,0.16802069729454028,50
N4,A,in,10.0,all,0.7835178692018306,0.12481569569718406,50
N4,A,in,10.0,post,0.7814420906079671,0.13149176185003336,50
N4,A,in,10.0,pre,0.7768031580640798,0.16716891038239418,50
N4,A,in,30.0,all,0.7857156821166873,0.12453040092291023,50
N4,A,in,30.0,post,0.7837454340232354,0.13125305504812837,50
N4,A,in,30.0,pre,0.7793893488977146,0.16676872114139493,50
N4,A,in,100.0,all,0.7868851527115099,0.1243867730319418,50
N4,A,in,100.0,post,0.7849622526299355,0.13107852676997084,50
N4,A,in,100.0,pre,0.7807628284462238,0.16661655185783292,50
N4,A,legs,0.0,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,0.0,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,0.0,pre,0.7658819837590294,0.16927332690598731,50
N4,A,legs,0.01,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,0.01,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,0.01,pre,0.7658819837590294,0.16927332690598731,50
N4,A,legs,0.03,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,0.03,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,0.03,pre,0.7658819837590294,0.16927332690598731,50
N4,A,legs,0.1,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,0.1,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,0.1,pre,0.7658819837590294,0.16927332690598731,50
N4,A,legs,0.3,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,0.3,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,0.3,pre,0.7658819837590294,0.16927332690598731,50
N4,A,legs,1.0,all,0.7740921780386267,0.12643144230212455,50
N4,A,legs,1.0,post,0.771387327035453,0.13245141781125888,50
N4,A,legs,1.0,pre,0.7658819837590294,0.16927332690598731,50
